歌名,歌手
慢慢喜欢你到忘记（Cover 莫文蔚）,陈壹千
LOSER,米津玄
越来越不懂（Cover 蔡健雅）,王贰浪
RISE,The Glitch Mob
可不可以,张紫豪
忽然之间,炎亚纶
雅俗共赏,许嵩
其实都没有,杨宗纬
戒烟（Cover：李荣浩）,方宇杰
林宥嘉,徐秉龙
PLANET,ラムジ
Legends Never Die (Alan Walker Remix),Against the Current
广东爱情故事,广东雨神
"Flightless Bird, American Mouth",Iron & Wine
English Tea,Paul McCartney
借我,谢春花
我从崖边跌落,谢春花
心仪,徐秉龙
轻重己,孟凡明
不相忘,孟凡明
某某,孟凡明
喜欢,阿肆
混蛋！,焦迈奇
我的名字,焦迈奇
赧(nǎn)然的贼,焦迈奇
改天再忙,RAiNBOW计划
心事,徐秉龙
水星记,郭顶
山下,方拾贰（方十二）
可乐,赵紫骅
21,RAiNBOW计划
初恋旧爱新欢,RAiNBOW计划
アイロニ,majiko
好想你,李雪莱
记念,RAiNBOW计划
Change,Charlie Puth
The Way I Am,Charlie Puth
Silver Scrapes,英雄联盟
Welcome to Planet Urf,英雄联盟
少龙的回忆,小智
EcI,沈以诚
你要的全拿走,胡彦斌
心做し,majiko
陷阱,王北车
阿珍爱上了阿强,五条人
皇帝的新衣 (Skr),AR（刘夫阳）
星球坠落 (Live),艾热 AIR
山分那员照,徐梦圆
Send It ,Austin Mahone
白羊,徐秉龙
旧诗,孟凡明
只只,孟凡明
Father and Son,Yusuf / Cat Stevens
我总是一个人在练习一个人 (Live),林宥嘉
突然想起你(Live),林宥嘉
走马,陈粒
一番星,タイナカ彩智
梦灯笼,电鸟个灯泡
打上花火,DAOKO
Lemon,米津玄
别傻了,张星星
烟火里的尘埃,华晨宇
交响梦,苏打绿
Here We Are Again,CAGNET
